Series_Title,Genre,IMDB_Rating
Star Trek,"Action, Adventure, Sci-Fi",7.9
In Bruges,"Comedy, Crime, Drama",7.9
The Man from Earth,"Drama, Fantasy, Mystery",7.9
Letters from Iwo Jima,"Action, Adventure, Drama",7.9
The Fall,"Adventure, Drama, Fantasy",7.9
Life of Pi,"Adventure, Drama, Fantasy",7.9
Fantastic Mr. Fox,"Animation, Adventure, Comedy",7.9
C.R.A.Z.Y.,"Comedy, Drama",7.9
Les choristes,"Drama, Music",7.9
Iron Man,"Action, Adventure, Sci-Fi",7.9
Shaun of the Dead,"Comedy, Horror",7.9
Gegen die Wand,"Drama, Romance",7.9
Mystic River,"Crime, Drama, Mystery",7.9
Harry Potter and the Prisoner of Azkaban,"Adventure, Family, Fantasy",7.9
Ying xiong,"Action, Adventure, History",7.9
Hable con ella,"Drama, Mystery, Romance",7.9
No Man's Land,"Comedy, Drama, War",7.9
Cowboy Bebop: Tengoku no tobira,"Animation, Action, Crime",7.9
The Bourne Identity,"Action, Mystery, Thriller",7.9
Nueve reinas,"Crime, Drama, Thriller",7.9
Children of Men,"Adventure, Drama, Sci-Fi",7.9
Almost Famous,"Adventure, Comedy, Drama",7.9
Mulholland Dr.,"Drama, Mystery, Thriller",7.9
Toy Story 2,"Animation, Adventure, Comedy",7.9
Boogie Nights,Drama,7.9
Mimi wo sumaseba,"Animation, Drama, Family",7.9
Once Were Warriors,"Crime, Drama",7.9
True Romance,"Crime, Drama, Romance",7.9
Trois couleurs: Bleu,"Drama, Music, Mystery",7.9
Jûbê ninpûchô,"Animation, Action, Adventure",7.9
Carlito's Way,"Crime, Drama, Thriller",7.9
Edward Scissorhands,"Drama, Fantasy, Romance",7.9
My Left Foot: The Story of Christy Brown,"Biography, Drama",7.9
Crimes and Misdemeanors,"Comedy, Drama",7.9
The Untouchables,"Crime, Drama, Thriller",7.9
Hannah and Her Sisters,"Comedy, Drama",7.9
Brazil,"Drama, Sci-Fi",7.9
This Is Spinal Tap,"Comedy, Music",7.9
A Christmas Story,"Comedy, Family",7.9
The Blues Brothers,"Action, Adventure, Comedy",7.9
Manhattan,"Comedy, Drama, Romance",7.9
All That Jazz,"Drama, Music, Musical",7.9
Dawn of the Dead,"Action, Adventure, Horror",7.9
All the President's Men,"Biography, Drama, History",7.9
La montaña sagrada,"Adventure, Drama, Fantasy",7.9
Amarcord,"Comedy, Drama, Family",7.9
Le charme discret de la bourgeoisie,Comedy,7.9
"Aguirre, der Zorn Gottes","Action, Adventure, Biography",7.9
Harold and Maude,"Comedy, Drama, Romance",7.9
Patton,"Biography, Drama, War",7.9
The Wild Bunch,"Action, Adventure, Western",7.9
Night of the Living Dead,"Horror, Thriller",7.9
The Lion in Winter,"Biography, Drama, History",7.9
In the Heat of the Night,"Crime, Drama, Mystery",7.9
Charade,"Comedy, Mystery, Romance",7.9
The Manchurian Candidate,"Drama, Thriller",7.9
Spartacus,"Adventure, Biography, Drama",7.9
L'avventura,"Drama, Mystery",7.9
Hiroshima mon amour,"Drama, Romance",7.9
The Ten Commandments,"Adventure, Drama",7.9
The Searchers,"Adventure, Drama, Western",7.9
East of Eden,Drama,7.9
High Noon,"Drama, Thriller, Western",7.9
Strangers on a Train,"Crime, Film-Noir, Thriller",7.9
Harvey,"Comedy, Drama, Fantasy",7.9
Miracle on 34th Street,"Comedy, Drama, Family",7.9
Notorious,"Drama, Film-Noir, Romance",7.9
The Big Sleep,"Crime, Film-Noir, Mystery",7.9
The Lost Weekend,"Drama, Film-Noir",7.9
The Philadelphia Story,"Comedy, Romance",7.9
His Girl Friday,"Comedy, Drama, Romance",7.9
The Adventures of Robin Hood,"Action, Adventure, Romance",7.9
A Night at the Opera,"Comedy, Music, Musical",7.9
King Kong,"Adventure, Horror, Sci-Fi",7.9
Freaks,"Drama, Horror",7.9
Nosferatu,"Fantasy, Horror",7.9
The Gentlemen,"Action, Comedy, Crime",7.8
Raazi,"Action, Drama, Thriller",7.8
Sound of Metal,"Drama, Music",7.8
Forushande,Drama,7.8
Dunkirk,"Action, Drama, History",7.8
Perfetti sconosciuti,"Comedy, Drama",7.8
